id,day,name,address,city,codes,map,notes,created_at,updated_at
299,"Friday, AM 06:00",One Day at a Time,Trinity Presbyterian Church:  3151 Union Ave.,"San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3151+Union+Ave.,+San+Jose,+CA&aq=&sll=37.0625,-95.677068&sspn=24.455808,74.707031&ie=UTF8&hq=&hnear=3151+Union+Ave,+San+Jose,+California+95124&z=15","",2013-07-30 00:50:09 UTC,2013-08-12 16:21:12 UTC
502,"Friday, AM 06:00",Attitude Adjustment,Denny's Restaurant:  1390 S. 1st @ Alma,"San Jose, Downtown","O,Wh","http://maps.google.com/maps?f=q&hl=en&geocode=&q=1390+s.+first+st.,+san+jose,+ca&sll=37.0625,-95.677068&sspn=45.736609,81.738281&ie=UTF8&z=16&om=1",,2013-07-30 00:50:10 UTC,2013-07-30 00:50:10 UTC
543,"Friday, AM 06:00",Attitude Adjustment,Cornerstone Fellowship Group:  1600 Dell Ave. (2nd Floor),Campbell,O,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1600+Dell+Ave.,+Campbell+CA&aq=&sll=37.277003,-121.952999&sspn=0.071985,0.209255&ie=UTF8&hq=&hnear=1600+Dell+Ave,+Campbell,+California+95008&z=16",,2013-07-30 00:50:10 UTC,2013-07-30 00:50:10 UTC
64,"Friday, AM 06:30",Faith at Work,7511 Gourmet Alley,Gilroy,"O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16",,2013-07-30 00:50:08 UTC,2013-07-30 00:50:08 UTC
352,"Friday, AM 06:30",Sunrisers Group,Carrow's Restaurant: 910 Saratoga Avenue,"San Jose, West","O,Wh","http://maps.google.com/maps?q=910,+Saratoga+Avenue+san+jose,+ca&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
5,"Friday, AM 07:00",Daily Reflection,"South County Fellowship: Friendly Inn, 17666 Crest Ave.",Morgan Hill,"O,Wh",http://goo.gl/maps/mcRz6,,2013-07-30 00:50:08 UTC,2013-08-07 17:13:37 UTC
318,"Friday, AM 07:00",Sunrise Eleventh Step,"Unity Palo Alto Community Church: 3391 Middlefield Rd., near Ames Ave",Palo Alto,"O,Wh","http://maps.google.com/maps?q=3391+Middlefield+Rd.+palo+alto,+ca&spn=0.021757,0.036489&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
400,"Friday, AM 07:00",Up the Creek - Daily Reflections,"Moffett Central Shopping Center: 327 B Moffett Blvd., between Central Expwy & Middlefield",Mountain View,"O,Wh","http://maps.google.com/maps?q=327+Moffett+Blvd,+Mountain+View,+CA+94043&spn=0.028437,0.039710&hl=en",,2013-07-30 00:50:10 UTC,2013-07-30 00:50:10 UTC
225,"Friday, AM 07:30",Early Bird,Denny's Restaurant:  1390 S. 1st @ Alma,"San Jose, Downtown","O,Wh","http://maps.google.com/maps?f=q&hl=en&geocode=&q=1390+s.+first+st.,+san+jose,+ca&sll=37.0625,-95.677068&sspn=45.736609,81.738281&ie=UTF8&z=16&om=1",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
459,"Friday, AM 08:30",Friday Freedom (Women),"Knights of Columbus: 2211 Shamrock Dr., at S. Bascom Ave., in Santa Maria Hall",Campbell,"W,C","http://maps.google.com/maps?q=2211,+Shamrock+Dr,+campbell,+ca&hl=en",,2013-07-30 00:50:10 UTC,2013-07-30 00:50:10 UTC
360,"Friday, AM 09:00",Cup of Coffee Group,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
25,"Friday, AM 10:30",As Bill Sees It,"Serenity First Fellowship: 304 N. 6th St, at Julian (upstairs)","San Jose, downtown",O,"http://maps.google.com/maps?q=304+N+6th+St,+San+Jose,+CA+95112&hl=en",,2013-07-30 00:50:08 UTC,2013-07-30 00:50:08 UTC
133,"Friday, AM 12:00",The End of the Madness,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en",,2013-07-30 00:50:08 UTC,2013-07-30 00:50:08 UTC
10,"Friday, Noon",In the Chapel,Palo Alto Veterans Administration Hospital: 3801 Miranda Ave.,Palo Alto,"O,Wh","http://maps.google.com/maps?q=3801+Miranda+Ave.,Palo+Alto,+CA&ll=37.403870,-122.142116&spn=0.029541,0.055607&hl=en",,2013-07-30 00:50:08 UTC,2013-07-30 00:50:08 UTC
208,"Friday, Noon",Big Book Study,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
216,"Friday, Noon",Easier Way Group,"St. Luke's Episcopal Church: 20 University Ave., near Main St.",Los Gatos,O,"http://maps.google.com/maps?f=q&hl=en&q=20+University+Ave.,+Los+Gatos,+cA&ll=37.223357,-121.98236&spn=0.015036,0.042915",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
219,"Friday, Noon",T.G.I.F. Speaker/Discussion,"Mental Health Services: 231 Grant Ave., day room (enter on south side of building)",Palo Alto,"O,Wh","http://maps.google.com/maps?q=231+Grant+Ave,+palo+alto,+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
220,"Friday, Noon",Came to Believe,"Moffett Central Shopping Center: 327 B Moffett Blvd., between Central Expwy & Middlefield",Mountain View,"O,Wh","http://maps.google.com/maps?q=327+Moffett+Blvd,+Mountain+View,+CA+94043&spn=0.028437,0.039710&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
224,"Friday, Noon",12 Steps at Noon,"St. Timothy's Lutheran Church: 5151 Carter Ave, betw Hwy 85 & Kooser(ANNEX)","San Jose, South","O,Wh","http://maps.google.com/maps?q=5151+Carter+Ave,+san+jose,+ca&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
226,"Friday, Noon",High Noon,Cornerstone Fellowship Group:  1600 Dell Ave. (2nd Floor),Campbell,O,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1600+Dell+Ave.,+Campbell+CA&aq=&sll=37.277003,-121.952999&sspn=0.071985,0.209255&ie=UTF8&hq=&hnear=1600+Dell+Ave,+Campbell,+California+95008&z=16",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
227,"Friday, Noon",Friday Milestone Group (chip),Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
230,"Friday, Noon",Came to Believe,"Serenity First Fellowship: 304 N. 6th St, at Julian (upstairs)","San Jose, Downtown",O,"http://maps.google.com/maps?q=304+N+6th+St,+San+Jose,+CA+95112&hl=en",,2013-07-30 00:50:09 UTC,2013-07-30 00:50:09 UTC
