day,name,address,city,codes,map,
"Sunday, 	11:00 AM",11th Step,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Saturday, 	10:00 PM",11th Step Tropical Meditation,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Monday, 	6:00 PM",12 @ 6 GROUP,Holy Cross Lutheran Ch.	1165 Seville,Pacifica,"C,H,S,Wh",,
"Tuesday, 	8:00 PM",12 + 12 FRIENDSHIP GROUP,"139 Primrose at Howard, Next to Primrose Center",Burlingame,H,,
"Tuesday, 	12:00 PM",12 STEP STUDY,United Meth. Church	450 Chadbourn rm 101,Millbrae,"H,S",,
"Monday, 	7:30 PM",12 Step Study,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Monday, 	8:00 PM",12 STEPS STUDY GROUP,"New Life Comm. Church	""1430 Palm Drive, enter on El Camino""",Burlingame,"H,S",,
"Sunday, 	9:00 AM",3RD & 11TH STEP,Coastal Repertory Theater 1167 Main Street,Half Moon Bay ,"H,S",,
"Wednesday, 	7:30 PM",A FRESH START,St. Ambrose Church	Beachpark & Edgewater,Foster City,"H,YP,",,
"Thursday, 	6:30 PM",A VISION FOR YOU,"St . Pius Church  1100 Woodside Rd, Rm 4  ",Redwood City,S,,
"Monday, 	7:30 PM",ALKIE GULCH,Good Shepherd Church	5th & O’Neill,Belmont,D,,
"Saturday, 	11:00 AM",ANY LENGTH GROUP,1600 Trousdale Ave.,Burlingame,"H,SP,Wh",,
"Monday, 	7:00 PM",As Bill Sees It,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,H,,
"Saturday, 	7:30 PM",AS BILL SEES IT,St. Peters Church	700 Oddstad-at Linda Mar,Pacifica,"C,S",,
"Tuesday, 	12:00 PM",As Bill Sees It,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Friday, 	7:00 AM",ATHERTON AA,Carriage House Holbrook Palmer Park 150 Watkins Rd,Atherton,H,,
"Wednesday, 	12:00 PM",ATHERTON GROUP,Presby. Church 1111 University-Building D-Rm D11 (Last Wednesday of each month is an Open Meeting.),Menlo Park,"C,",,
"Friday, 	Midnight ",Awake and Serene,San Carlos Peninsula Fellowship  1133 Eaton Ave. Upstairs,San Carlos,H,,
"Thursday, 	12:00 PM",B.Y.O.B.GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,S,,
"Friday, 	12:00 PM",BACK TO BASICS,Shoreline Station	225 S. Cabrillo Hwy Rm101-C,Half Moon Bay ,"D,Wh",,
"Tuesday, 	7:00 PM",BACK TO BASICS,VA Hospital	795 Willow Rd. Bldg. 347,Menlo Park,,,
"Wednesday, 	8:00 PM",BACK TO THE WORLD GROUP,139 Primrose at Howard,Burlingame,H,,
