day,name,address,city,codes,map
Sun  9:00 AM,Sunday Spirituality,Good Shepherd Church 5th & O’Neill,Atherton,,
Fri  7:00 AM,Atherton Aa,Good Shepherd Church 5th & O’Neill,Atherton,,
Mon  7:30 PM,Alkie Gulch,Good Shepherd Church 5th & O’Neill,Belmont,,
Tue  12:00 PM,Belmont Noon Group,Good Shepherd Church 5th & O’Neill,Belmont,,
Wed  6:00 PM,One Line At A Time,Good Shepherd Church 5th & O’Neill,Belmont,,
Thu  7:30 PM,Day At A Time,Brisbane Com Ctr 250 Visitation Ave.,Belmont,,
Fri  12:00 PM,Singleness Of Purpose,1st Presby Church	El Camino & Easton,Belmont,,
Sun  11:00 AM,Brisbane Breakfast Meeting,	139 Primrose at Howard,Brisbane,,
Sun  7:30 PM,Sunday Nite Discussion,"New Life Comm. Church  1430 Palm Drive, Social Hall",Burlingame,,
Sun  8:00 PM,Sunday Special-As Bill Sees It,Peninsula Medical Center  1501 Trousdale Conference Room H,Burlingame,,
Mon  12:00 PM,Just For Today,	139 Primrose at Howard,Burlingame,,
Mon  7:00 PM,Sharing Choices,"New Life Comm. Church  1430 Palm Drive, enter on El Camino",Burlingame,,
Mon  8:00 PM,People Of Worth Big Book Study,St. Paul's Library 415 El Camino Real ,Burlingame,,
Mon  8:00 PM,12 Steps Study Group,"139 Primrose at Howard, Next to Primrose Center",Burlingame,,
Tue  4:30 PM,Stepping Thru The Big Book,Good Shepherd Church  301 Burlingame,Burlingame,,
Tue  8:00 PM,12 + 12 Friendship Group,New Life Comm. Church 1430 Palm Drive,Burlingame,,
Tue  8:00 PM,Tuesday Nite Group,	139 Primrose at Howard,Burlingame,,
Wed  12:00 PM,Senior Focus,New Life Comm. Church 1430 Palm Drive,Burlingame,,
Wed  8:00 PM,Back To The World Group,Good Shepherd Church  301 Burlingame,Burlingame,,
Wed  8:30 PM,Broad Highway-Bb Study,New Life Comm. Church 1430 Palm Drive,Burlingame,,
Thu  12:00 PM,Burlingame Men’s Noon Meeting,St. Paul's Library 415 El Camino Real ,Burlingame,,
Thu  7:30 PM,Hillsborough Men's Group,New Life Community Church	1430 Palm Drive,Burlingame,,
Thu  8:00 PM,Burlingame Men’s Group,St. Paul’s Church 405 El Camino Real,Burlingame,,
Fri  12:00 PM,Rap Group,1600 Trousdale Ave.,Burlingame,,
Fri  8:00 PM,Serenity Group,Burlingame Methodist Church  Primrose and Howard enter gate left of 139 Primrose,Burlingame,,
Sat  11:00 AM,Any Length Group,St. Paul’s Church	405 El Camino Real,Burlingame,,
Sat  7:30 PM,Peninsula Prime Time,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Burlingame,,
Sat  8:00 PM,Saturday Night Discussion,5520 Mission @ Guttenberg,Burlingame,,
Sun  9:30 AM,Colma Eye Opener,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sun  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sun  5:00 PM,Committed ,5520 Mission @ Guttenberg,Daly City,,
Sun  7:00 PM,Sun Nite Step,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Sun  8:00 PM,Grupo Geneva,5520 Mission @ Guttenberg,Daly City,,
Mon  7:00 AM,Grapevine Meeting,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Mon  12:00 PM,Grupo Geneva,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Mon  12:00 PM,Brown Baggers,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Mon  6:00 PM,Mustard Seed,WBAC - West Bay Fellowship - Phone: 756-3322	7330 Mission Street,Daly City,,
Mon  7:00 PM,As Bill Sees It,5520 Mission @ Guttenberg,Daly City,,
